Age,Salary,Experience,Performance_Score,Gender,Department,Hired,Hiring_Date,Location
29.0,69257,8 years,1,Female,,No,2022-07-17,Seattle
45.0,43172,18 years,7,M,Sales,Yes,2021-08-28,Boston
29.0,47481,4 years,5,Female,,Yes,2010-05-06,Boston
39.0,43468,15 years,7,,Sales,Y,2020-01-01,New York
39.0,50235,14 years,2,Female,Sales,,2020-03-30,Boston
35.0,29270,11 years,3,Female,Engineering,No,2011-11-02,Austin
42.0,66440,16 years,1,F,Sales,Yes,2023-10-16,Austin
55.0,76767,31 years,5,Female,Sales,Y,2014-09-13,New York
42.0,37242,22 years,7,Male,Marketing,Yes,,Boston
32.0,34594,15 years,5,Female,Sales,Y,2018-08-09,Boston
26.0,35384,6 years,2,Female,,Yes,2010-02-09,New York
33.0,53390,7 years,7,Female,,,2018-01-24,Boston
31.0,38732,11 years,8,Female,Sales,Y,2012-08-01,Austin
46.0,40044,22 years,10,,HR,,2016-10-06,Boston
33.0,51838,11 years,7,Male,HR,Y,2022-05-26,Austin
65.0,74419,40 years,1,Male,Engineering,Y,2013-04-27,New York
28.0,51243,8 years,7,F,Engineering,Y,2013-03-23,
64.0,91194,40 years,2,F,Marketing,Y,2018-09-17,
18.0,32707,0 years,4,M,Sales,No,2021-05-26,Austin
29.0,48334,6 years,2,Female,Engineering,Y,,New York
42.0,29306,22 years,5,Female,Marketing,N,2013-10-10,Boston
55.0,85493,34 years,3,Female,,,2011-09-21,Seattle
43.0,59346,28 years,5,Female,Marketing,Y,2013-01-14,New York
36.0,30042,13 years,3,F,Marketing,Yes,2023-09-19,
39.0,66047,15 years,7,Female,,Y,2023-08-12,Seattle
25.0,56498,3 years,3,M,,Y,2015-08-22,
,48664,11 years,5,Female,,Y,2018-04-17,Austin
52.0,65401,33 years,6,Female,HR,Yes,2019-07-07,Seattle
65.0,68681,37 years,3,Female,Marketing,No,2016-03-31,
47.0,57277,22 years,9,Male,,,2017-09-17,
32.0,45524,10 years,9,Female,Marketing,,2016-02-07,
39.0,66413,17 years,10,,Marketing,Y,2012-04-06,
18.0,35911,0 years,10,M,Sales,Yes,2020-06-05,Austin
19.0,41750,0 years,6,M,Sales,Yes,2013-01-29,Boston
40.0,48855,18 years,4,M,Marketing,Yes,2015-08-16,Boston
35.0,38115,12 years,9,F,Marketing,Yes,2023-08-17,Seattle
18.0,25000,0 years,10,M,Sales,Yes,,
34.0,56782,14 years,6,Female,Marketing,Yes,2022-10-25,Austin
,67244,40 years,10,Female,,,2022-11-13,New York
42.0,53660,23 years,1,Male,,Y,2013-07-28,New York
22.0,50461,1 years,2,,,Y,2015-02-26,Austin
63.0,88547,40 years,3,Female,,N,2014-01-19,New York
38.0,76625,22 years,2,F,,,2023-03-01,Boston
28.0,28238,8 years,2,F,,,2010-12-03,Austin
29.0,30582,0 years,5,,,Yes,2021-02-05,
23.0,65436,1 years,4,Female,,N,2013-05-02,
34.0,41774,2 years,1,,Sales,Y,2020-12-01,New York
38.0,40910,18 years,6,Male,HR,Yes,,Boston
22.0,64822,2 years,4,Male,Sales,Y,2011-01-12,Boston
47.0,58920,24 years,3,Female,Engineering,Yes,,
39.0,62517,13 years,9,Male,Sales,,2022-06-11,
42.0,73397,24 years,1,F,Marketing,Y,2015-04-15,Boston
36.0,32191,13 years,9,,,Y,2014-07-13,New York
29.0,25000,2 years,6,Female,HR,Yes,2019-05-01,Seattle
21.0,51124,0 years,7,Male,Sales,,2019-05-14,Seattle
43.0,67700,20 years,3,Female,HR,Y,2010-09-26,Boston
24.0,25000,1 years,6,Male,,Y,2017-10-24,Boston
18.0,40966,0 years,2,Female,Sales,Y,2011-04-07,
48.0,47329,29 years,10,M,,N,2013-06-10,Austin
29.0,36451,13 years,7,M,,N,2016-09-20,Seattle
32.0,71928,12 years,5,Female,HR,No,2018-05-30,
34.0,60061,10 years,3,M,HR,Y,2012-03-29,Boston
34.0,27872,16 years,4,Female,Marketing,Y,2023-08-31,
22.0,29825,0 years,2,Male,Engineering,Yes,,Austin
38.0,68839,19 years,6,F,Sales,Yes,2022-10-03,Seattle
30.0,54414,9 years,3,M,Sales,Yes,2021-09-02,
40.0,25844,18 years,6,F,HR,Yes,2012-05-11,New York
34.0,57636,12 years,9,,Engineering,,2017-01-08,
,36211,8 years,8,Male,Marketing,Y,2013-06-17,New York
44.0,54321,25 years,8,Male,,No,2012-03-19,Seattle
29.0,54832,3 years,5,Female,Sales,Yes,2010-01-02,
46.0,57363,25 years,6,,HR,Y,2012-07-15,
18.0,48299,0 years,3,Female,HR,Yes,2020-09-24,
22.0,29037,1 years,2,,Sales,Yes,2020-06-14,
35.0,35186,8 years,2,Male,HR,No,2013-11-24,Austin
31.0,46671,11 years,1,F,,Yes,2017-06-05,
,39275,0 years,10,F,Marketing,,2010-10-27,Boston
26.0,25000,10 years,9,F,Marketing,No,2012-07-06,Seattle
64.0,67791,40 years,5,Male,HR,Y,2023-09-11,
22.0,37549,4 years,6,,HR,No,2017-12-26,Boston
65.0,93339,40 years,4,Male,Engineering,Yes,2019-06-07,New York
23.0,36755,0 years,8,,,Y,2010-06-03,Boston
33.0,41472,6 years,3,Male,Marketing,,,Austin
19.0,41411,0 years,3,M,Marketing,Yes,2010-02-13,Seattle
41.0,62976,17 years,2,M,Sales,,2021-08-03,Boston
34.0,59599,12 years,9,,HR,,2022-05-12,Boston
24.0,33207,3 years,3,M,Engineering,Yes,2016-11-29,Austin
27.0,27881,2 years,10,,Engineering,Yes,2010-11-06,
18.0,25000,0 years,7,Female,Marketing,Yes,2011-09-24,New York
38.0,33845,11 years,9,F,,No,2022-06-04,Seattle
,49021,23 years,9,Female,,Y,2013-03-12,Austin
43.0,61087,22 years,7,,Sales,No,2011-03-16,Austin
36.0,45221,15 years,8,,,,2022-09-23,Boston
57.0,71140,33 years,3,,Marketing,Y,2011-11-29,New York
48.0,34551,,7,F,HR,,2018-06-07,Austin
25.0,68088,4 years,4,Female,HR,,2018-09-29,Boston
39.0,65083,14 years,1,Female,,Yes,2015-01-17,Boston
33.0,34761,9 years,9,,,Yes,2018-10-24,Boston
31.0,49494,11 years,6,Female,,Yes,2012-09-21,Seattle
37.0,61902,11 years,2,,HR,Yes,2014-04-07,Seattle
31.0,64739,10 years,4,Male,Sales,N,2019-11-19,New York
27.0,34272,4 years,1,F,HR,Y,,Austin
40.0,32278,18 years,5,Male,Sales,No,2018-04-20,Boston
34.0,43541,13 years,9,M,Marketing,No,2022-08-05,New York
56.0,79778,33 years,9,Male,HR,,2016-10-02,New York
40.0,39636,,5,Male,Sales,,,Austin
24.0,59791,0 years,10,Female,,Yes,2018-01-12,Austin
25.0,46376,7 years,3,,Marketing,,2020-09-06,Boston
20.0,33876,1 years,5,F,,N,2018-10-08,
25.0,48459,2 years,9,Male,HR,No,2012-12-04,New York
34.0,45326,10 years,7,,HR,Y,2017-08-23,Austin
26.0,32416,3 years,2,M,HR,Yes,2010-10-21,Seattle
36.0,45895,15 years,4,M,Sales,Yes,2016-12-16,New York
35.0,25000,13 years,3,Male,Engineering,N,2013-08-24,
30.0,29300,3 years,3,M,Sales,N,2015-04-21,Austin
18.0,43338,0 years,5,Male,Marketing,Yes,2020-04-27,New York
38.0,30300,14 years,1,F,Marketing,No,2023-06-12,
51.0,71034,26 years,6,M,Sales,No,2018-03-05,
36.0,84346,18 years,1,,Engineering,Yes,2018-06-04,New York
32.0,25000,8 years,4,M,Engineering,Yes,2018-03-14,New York
35.0,53230,7 years,10,Female,Engineering,,2014-08-29,Seattle
36.0,80029,17 years,7,F,,No,2023-05-21,New York
43.0,70855,23 years,3,F,Engineering,Y,2021-04-10,Boston
18.0,41577,0 years,10,F,Marketing,Y,2015-12-22,Austin
32.0,65563,14 years,6,Female,,Y,2011-09-28,
48.0,33457,23 years,3,F,Marketing,Yes,2011-01-07,Boston
43.0,76883,22 years,2,Male,Marketing,N,2015-01-03,Austin
34.0,42434,11 years,3,Male,HR,,2022-11-22,
33.0,36127,3 years,6,F,Marketing,,2013-08-22,Austin
34.0,42184,10 years,5,Male,Sales,Yes,2012-06-11,New York
21.0,36473,0 years,8,,,Y,2021-04-20,Boston
31.0,37187,10 years,3,Female,Engineering,Y,2017-11-15,Boston
47.0,51169,28 years,8,Female,Marketing,N,2012-02-15,Seattle
47.0,42938,24 years,2,F,HR,No,2012-10-09,Seattle
29.0,35411,10 years,5,Female,Marketing,No,2018-03-25,Austin
20.0,32643,0 years,5,Male,Marketing,No,2014-09-28,Seattle
50.0,42312,28 years,5,,Sales,No,2020-06-06,Boston
35.0,52373,13 years,7,Male,HR,No,2018-04-21,
22.0,54375,0 years,5,Male,Sales,,2021-05-27,Austin
36.0,54023,17 years,9,M,Engineering,,2020-04-06,Austin
20.0,29510,0 years,7,Male,Engineering,No,2012-02-20,
30.0,48914,7 years,7,Female,Marketing,,2012-04-13,New York
42.0,42876,22 years,10,Male,Marketing,Yes,,Austin
39.0,33008,13 years,2,Male,Marketing,Y,2019-09-24,New York
39.0,25000,17 years,6,F,Sales,Yes,2023-10-02,New York
49.0,60628,27 years,7,Female,Engineering,,2023-01-20,Boston
33.0,62055,6 years,6,Female,HR,Y,2021-06-16,New York
,65068,6 years,3,Male,Engineering,Yes,2020-05-10,Boston
27.0,34403,4 years,3,Male,,Y,2023-01-24,Seattle
25.0,32078,1 years,5,M,Engineering,No,2012-12-10,New York
18.0,44483,0 years,9,Female,Engineering,N,2023-10-28,Boston
44.0,57582,23 years,4,F,Sales,No,2022-03-18,Austin
18.0,28770,0 years,4,F,Marketing,No,2019-06-30,Austin
55.0,91143,38 years,5,Female,Sales,No,2012-12-15,Austin
41.0,53476,17 years,7,Female,HR,Yes,2014-12-09,Boston
39.0,67424,20 years,5,,Marketing,,2021-04-16,Boston
50.0,34886,25 years,10,,Engineering,Yes,2019-06-02,Austin
26.0,36771,2 years,10,Female,,Y,2019-10-29,
46.0,53795,26 years,7,Male,Marketing,Y,2016-02-09,New York
27.0,45555,2 years,1,Female,Sales,No,2013-12-24,Seattle
43.0,37921,19 years,3,F,Engineering,No,2012-10-25,
46.0,53798,26 years,8,M,Sales,,2010-04-14,
18.0,43748,0 years,2,,Marketing,Yes,2021-11-29,Austin
45.0,52203,26 years,9,F,Marketing,Y,,New York
28.0,25000,9 years,2,M,Marketing,Y,2012-09-03,Seattle
37.0,62888,19 years,10,Male,,,2012-11-02,Boston
41.0,26877,18 years,9,F,HR,Yes,2010-05-23,Seattle
36.0,67304,9 years,2,,Marketing,Y,2019-02-25,Boston
23.0,49090,1 years,9,,Sales,Y,2011-07-28,Boston
37.0,49492,14 years,10,Male,,Y,2012-11-11,
23.0,55243,1 years,4,,Sales,Yes,2017-11-12,
24.0,40782,2 years,10,Female,Marketing,Yes,2021-02-10,Boston
53.0,80625,36 years,7,Female,,,2014-10-14,Seattle
31.0,26499,11 years,6,Female,Marketing,N,2020-07-21,New York
36.0,63667,,4,Female,Marketing,No,2020-05-01,Austin
31.0,45087,13 years,9,Male,Marketing,No,2017-01-13,
,34714,,8,Female,,Y,,Boston
40.0,47169,17 years,7,F,Marketing,Yes,2016-10-11,Austin
36.0,48988,19 years,3,Male,,Y,,
32.0,80732,10 years,9,Female,Sales,,2017-01-01,New York
43.0,30101,23 years,2,,HR,Yes,2017-07-23,Austin
27.0,56111,3 years,4,,,No,,
26.0,25238,3 years,2,,Marketing,N,2022-03-28,New York
18.0,32117,3 years,9,,Sales,,2013-02-11,Boston
47.0,62126,26 years,7,M,Sales,Yes,2020-01-24,Boston
30.0,25000,8 years,6,Female,Engineering,,,New York
26.0,48141,2 years,7,M,,Yes,2021-01-08,Seattle
32.0,49078,11 years,10,Male,Engineering,N,2018-05-13,Austin
33.0,66994,8 years,8,Female,Marketing,,2012-09-07,Austin
33.0,44866,6 years,3,Male,Marketing,,2012-11-09,New York
40.0,31056,21 years,7,F,,Yes,2021-03-09,Boston
27.0,53163,7 years,3,Female,Marketing,N,2019-02-09,Boston
49.0,61730,29 years,1,F,HR,Y,2013-04-22,
39.0,61178,18 years,4,Female,Sales,No,2019-10-11,New York
37.0,83972,12 years,8,,Marketing,N,,Austin
25.0,43189,9 years,2,,Engineering,,2021-05-13,Boston
37.0,48173,13 years,10,Male,Sales,Y,,Austin
,59420,28 years,6,Female,Marketing,Yes,2023-09-05,Austin
38.0,54123,15 years,1,Male,,Yes,2021-05-02,Boston
48.0,74152,26 years,6,F,Engineering,Y,2010-12-12,Austin
25.0,25000,0 years,9,,,No,2012-12-15,Austin
33.0,50092,9 years,9,Female,Sales,,,Boston
46.0,66951,24 years,4,Male,Sales,No,2017-11-29,Seattle
36.0,44876,14 years,8,Male,Engineering,,2012-05-21,New York
20.0,25000,0 years,6,F,HR,,2020-01-26,Boston
40.0,49769,16 years,4,Male,Marketing,Yes,2010-08-29,
22.0,26716,0 years,5,Male,HR,Yes,,Boston
22.0,37850,3 years,3,,,Yes,2022-10-30,Boston
32.0,66994,11 years,7,Female,Marketing,No,2020-10-24,Boston
29.0,25000,4 years,3,M,Sales,Yes,2019-09-03,Seattle
30.0,39712,5 years,10,M,HR,Yes,,Seattle
52.0,86713,30 years,1,,HR,,2019-08-29,Boston
51.0,57916,29 years,3,Female,Sales,No,2023-12-23,Austin
49.0,54831,24 years,9,F,Marketing,Yes,2014-06-17,New York
37.0,56376,10 years,3,Female,,Yes,,New York
59.0,54535,34 years,4,,Engineering,,2022-10-14,Austin
34.0,47118,10 years,9,Female,Marketing,Y,2010-03-22,
24.0,49473,3 years,6,Female,Marketing,No,2017-08-22,New York
46.0,48000,26 years,5,M,HR,Yes,2021-12-25,New York
24.0,25000,1 years,8,Male,,Yes,2013-10-13,Seattle
41.0,74856,21 years,4,F,,Y,,New York
36.0,56492,14 years,1,Male,Marketing,Yes,2017-07-02,New York
49.0,73283,27 years,7,Male,Marketing,No,,Seattle
41.0,53310,17 years,6,F,HR,N,2019-05-23,Austin
,25197,6 years,5,Female,,No,2011-05-12,New York
24.0,40878,5 years,1,M,,,2019-12-02,Austin
18.0,36539,0 years,1,,HR,N,,Seattle
29.0,55439,9 years,10,,Engineering,Y,2016-12-27,Boston
36.0,65510,14 years,3,Female,HR,Yes,2023-10-29,New York
27.0,31170,5 years,4,M,Sales,No,2019-11-01,
38.0,59583,15 years,7,,Sales,Y,2022-08-23,Seattle
51.0,44034,28 years,8,,HR,Y,,Seattle
26.0,52076,,9,M,Marketing,,2011-02-03,Boston
33.0,39729,11 years,4,Male,HR,Yes,2013-01-08,New York
22.0,63200,5 years,2,F,Engineering,N,2010-05-27,Austin
38.0,25000,18 years,7,F,Engineering,Y,2021-01-01,
34.0,32419,10 years,2,Male,HR,Y,2010-11-30,Seattle
59.0,60797,37 years,5,Male,HR,Yes,2012-01-15,New York
27.0,25000,6 years,8,M,,Yes,2023-03-29,Austin
35.0,56886,14 years,6,F,Engineering,No,2022-09-24,Austin
20.0,27990,0 years,3,Male,Engineering,N,2020-04-21,Seattle
29.0,27912,2 years,8,Female,HR,Y,2017-04-19,Boston
35.0,42491,15 years,10,Female,Sales,Yes,2021-01-04,
40.0,52367,13 years,10,Male,Marketing,Yes,2012-07-11,New York
45.0,80921,26 years,1,F,Engineering,Y,2014-03-06,Boston
42.0,58539,21 years,2,Female,Engineering,,2012-11-04,
40.0,42062,22 years,3,Female,Engineering,Y,2010-05-16,Boston
36.0,54613,10 years,10,Male,Sales,Yes,2019-04-08,
31.0,29996,8 years,4,Male,Engineering,Yes,2013-09-13,New York
43.0,52980,,2,Male,Engineering,Yes,2017-05-06,Austin
18.0,33756,0 years,7,M,Engineering,Y,,Boston
23.0,35569,0 years,3,Male,Marketing,,2015-07-11,Boston
58.0,71675,35 years,4,,Engineering,N,2010-02-28,Austin
46.0,69257,26 years,10,Male,HR,Yes,2014-06-05,New York
28.0,70467,0 years,10,M,Marketing,Y,2016-02-17,Austin
18.0,29380,0 years,4,,Sales,Y,2015-07-27,New York
46.0,75418,22 years,5,Male,Marketing,Yes,2011-01-21,Seattle
51.0,85059,24 years,9,Female,,,2011-03-03,Boston
28.0,30436,4 years,2,,Engineering,No,2021-06-05,Seattle
45.0,61635,24 years,4,Female,HR,Yes,2011-02-12,Austin
18.0,44292,0 years,3,F,Sales,No,2012-03-24,Seattle
,55189,20 years,9,Female,Engineering,,2016-01-10,Seattle
50.0,61117,28 years,2,F,Engineering,N,2010-04-30,Seattle
39.0,46395,18 years,8,Male,HR,Yes,2021-01-02,Boston
48.0,53837,19 years,6,Female,Marketing,No,2015-09-22,Seattle
31.0,25138,5 years,9,,,Yes,2020-03-05,New York
30.0,59566,6 years,9,Female,Engineering,N,2013-06-15,Austin
22.0,25000,0 years,8,M,Sales,,2016-06-07,Boston
36.0,44459,19 years,6,F,HR,N,2021-04-03,Austin
24.0,51093,1 years,1,,Engineering,N,2021-12-31,New York
47.0,87433,22 years,6,F,Marketing,No,2021-07-13,Boston
37.0,42955,14 years,1,Female,HR,,2016-09-28,
32.0,32701,11 years,1,Female,Sales,Yes,2013-11-03,
38.0,58569,22 years,7,,Engineering,Y,2022-04-14,
41.0,35599,13 years,5,Male,Marketing,Yes,2012-03-14,New York
32.0,43465,13 years,5,M,Engineering,Yes,2011-12-04,Austin
28.0,55249,6 years,8,Female,Sales,Yes,2010-07-06,New York
43.0,77165,15 years,1,Male,,No,2015-06-01,
47.0,37047,24 years,3,Male,,,2022-06-17,Seattle
25.0,56078,0 years,4,M,HR,No,2013-11-18,Boston
28.0,39992,1 years,3,F,Sales,No,2019-07-25,
37.0,44902,15 years,10,Female,Engineering,Yes,2015-12-08,Seattle
35.0,69379,11 years,6,M,,Y,2016-08-09,New York
49.0,52594,31 years,8,Male,Sales,Y,2018-06-08,Austin
26.0,66959,0 years,4,Female,Marketing,No,2015-08-24,New York
25.0,44660,3 years,8,,Sales,Y,2016-09-11,Seattle
32.0,47513,9 years,3,M,Marketing,No,2019-09-25,New York
44.0,66809,18 years,10,Male,HR,,2013-11-08,Seattle
43.0,55269,21 years,1,,Sales,No,2021-04-20,New York
45.0,38363,23 years,4,Female,Engineering,Y,2023-06-17,
44.0,54389,20 years,3,,Marketing,Yes,2023-08-21,Boston
46.0,59987,22 years,9,F,Sales,Y,2014-02-22,New York
60.0,68735,40 years,9,M,Engineering,Y,2013-08-31,
25.0,26134,4 years,5,M,HR,N,2019-08-14,Seattle
,33646,0 years,2,F,Sales,Yes,2021-01-16,Seattle
36.0,33140,,5,,Marketing,Yes,2018-04-08,Austin
39.0,44830,26 years,4,Female,Marketing,Yes,2014-11-20,Seattle
50.0,62756,25 years,5,Male,Engineering,Y,2021-01-10,Seattle
38.0,54824,15 years,6,Female,HR,Yes,2018-12-31,Austin
21.0,25000,0 years,3,Female,,Yes,2018-03-16,
23.0,25457,0 years,8,,HR,N,2017-01-07,
51.0,60709,30 years,9,F,Marketing,No,2022-05-17,Seattle
30.0,25000,3 years,8,F,HR,No,2018-10-10,Austin
29.0,41273,5 years,2,Male,HR,,2012-08-07,
26.0,25304,3 years,1,Male,Sales,Yes,2020-12-22,New York
45.0,61919,20 years,9,F,Engineering,Y,2017-05-29,Boston
29.0,40821,3 years,7,F,,Y,2021-09-22,Seattle
39.0,72348,19 years,1,M,Engineering,,2017-12-12,Austin
33.0,54949,14 years,9,,Engineering,Y,2020-03-31,Austin
42.0,55540,,10,M,Engineering,Yes,2022-01-10,Boston
34.0,73457,9 years,9,Female,HR,No,2011-09-10,Austin
46.0,55882,22 years,3,Female,,,2014-03-27,New York
19.0,33297,1 years,4,,Engineering,No,,Austin
36.0,33604,14 years,2,Male,Engineering,Y,2013-12-24,Seattle
45.0,44493,23 years,5,,Engineering,No,,Seattle
21.0,33646,0 years,2,M,,Yes,2011-07-03,Seattle
54.0,54767,35 years,2,Male,Sales,,,New York
26.0,42732,6 years,2,Male,HR,No,2014-04-14,
37.0,37184,17 years,5,M,Sales,No,2016-09-10,
29.0,38259,7 years,6,F,Marketing,,2013-09-24,Seattle
39.0,57121,16 years,7,M,Sales,,2014-10-18,New York
38.0,65365,19 years,7,F,Marketing,Yes,2010-11-21,New York
35.0,32138,13 years,5,,,N,2010-03-18,Seattle
36.0,51216,12 years,5,,Marketing,No,2010-05-22,Austin
23.0,26553,0 years,9,Female,Marketing,No,2016-03-28,Austin
34.0,38970,11 years,8,Male,HR,,2014-03-23,
35.0,69638,10 years,2,,Engineering,N,,Austin
52.0,83343,28 years,9,Female,Sales,N,,Austin
44.0,63604,24 years,5,F,,Y,2012-06-06,
33.0,35937,9 years,7,,Engineering,Yes,2023-05-30,Seattle
52.0,53134,28 years,6,Female,Sales,Yes,2014-12-24,Austin
54.0,56016,30 years,7,Female,HR,No,2021-07-23,
32.0,33194,12 years,4,Male,Sales,N,2012-02-25,
35.0,64335,12 years,9,Male,HR,Y,2023-05-27,
42.0,27663,24 years,6,Male,,,,New York
34.0,40073,11 years,8,Female,Engineering,No,2018-12-05,New York
49.0,84441,25 years,1,Male,HR,Yes,2023-08-13,Seattle
33.0,45508,7 years,10,F,Engineering,Y,2019-02-25,New York
20.0,42881,0 years,2,,HR,No,2012-06-19,New York
34.0,36926,16 years,9,Male,Engineering,Y,2022-09-29,Austin
35.0,41576,10 years,6,F,Sales,Yes,2013-03-14,Seattle
46.0,70984,26 years,1,,Sales,No,2019-03-24,Boston
18.0,25000,0 years,9,,,,2012-02-12,Austin
46.0,68090,25 years,4,,Engineering,No,2014-06-13,Austin
36.0,36462,16 years,8,F,Marketing,Y,2023-07-21,Boston
52.0,78982,31 years,1,F,,,2013-03-13,Austin
26.0,52827,6 years,9,Male,,Yes,2021-05-28,New York
44.0,77173,,2,Female,Marketing,Yes,2012-01-01,Seattle
40.0,63791,15 years,6,,,,2022-04-20,Austin
62.0,93384,33 years,10,F,Marketing,Y,2022-06-11,
38.0,75265,15 years,9,M,HR,Yes,2021-01-13,Seattle
53.0,73815,32 years,6,M,Marketing,No,2010-08-19,Seattle
39.0,54924,14 years,4,,Sales,,2023-08-27,New York
40.0,69643,22 years,4,Female,HR,Yes,2016-12-20,Seattle
20.0,25000,0 years,10,Female,Sales,Y,2011-10-04,
25.0,25000,5 years,3,Male,,Y,2016-09-26,
40.0,71745,15 years,3,M,HR,,2015-03-29,New York
30.0,70020,4 years,2,Male,Sales,No,2012-12-28,
27.0,28443,0 years,9,,Engineering,No,2013-09-22,Austin
35.0,38159,7 years,6,Female,HR,Yes,2021-03-18,Boston
,30790,5 years,5,Male,HR,Y,2021-07-30,New York
28.0,67434,1 years,7,,,Yes,2023-10-13,Seattle
31.0,26317,10 years,7,Male,HR,Yes,2022-01-14,Boston
37.0,35927,13 years,2,F,Engineering,Yes,2022-07-18,New York
37.0,53196,14 years,10,M,Engineering,,2017-07-24,
44.0,56593,23 years,3,,Sales,No,2011-12-03,Seattle
31.0,38458,9 years,5,F,Sales,,,Seattle
31.0,59041,12 years,5,Female,,,2012-03-17,New York
32.0,55876,11 years,3,Female,,Yes,2012-06-27,Seattle
,54818,15 years,3,,HR,No,2014-12-10,Boston
46.0,32030,25 years,5,M,Marketing,,2022-12-12,Austin
29.0,31787,3 years,7,,HR,N,2020-02-24,Austin
58.0,68531,32 years,6,Female,Marketing,,2017-06-06,New York
30.0,42003,7 years,7,Male,,No,2010-09-18,
32.0,49893,14 years,5,,,No,2012-06-21,Austin
28.0,31668,2 years,8,,Engineering,,2023-05-28,Austin
55.0,61603,36 years,2,F,,,2010-04-14,
31.0,55744,3 years,2,F,Engineering,Yes,2019-09-22,Seattle
24.0,25000,0 years,1,F,HR,,2015-01-11,Seattle
42.0,55195,22 years,2,Female,Engineering,Y,2010-11-07,Seattle
29.0,76082,10 years,3,Male,,,,
31.0,42892,5 years,2,Female,Engineering,Yes,2010-03-29,Boston
34.0,51604,13 years,7,Female,HR,No,2013-06-06,Boston
22.0,25000,0 years,4,Male,Engineering,Yes,2010-08-20,Austin
39.0,53704,15 years,3,Male,HR,No,2018-09-07,
50.0,64003,26 years,7,M,Marketing,Y,2019-05-03,
37.0,28924,14 years,8,,Engineering,,2016-10-29,Boston
35.0,38584,15 years,7,,HR,No,2011-07-18,Seattle
36.0,53985,14 years,3,M,Engineering,Y,2013-10-21,Austin
35.0,51782,,9,Female,HR,Yes,2023-05-27,Seattle
38.0,25000,16 years,10,F,Marketing,,2011-03-27,New York
35.0,44741,12 years,3,,Sales,Y,2020-04-06,Seattle
42.0,38051,20 years,7,Male,Engineering,N,2019-07-18,
22.0,26669,4 years,9,Female,Marketing,Yes,2011-12-14,Boston
54.0,90357,29 years,2,,Sales,Yes,2021-01-24,Seattle
34.0,25000,11 years,3,Female,Sales,No,2016-02-01,Austin
36.0,43786,15 years,6,Male,Sales,Y,2022-12-02,Seattle
33.0,58406,8 years,5,Female,Sales,,2015-03-09,New York
48.0,87481,25 years,9,,Marketing,N,2022-09-08,Boston
42.0,76812,18 years,8,,,N,2019-08-19,Boston
40.0,41412,17 years,5,Male,,N,2022-11-01,Seattle
32.0,25000,15 years,1,Male,Marketing,,2021-09-20,
49.0,45155,28 years,4,Male,Sales,N,2013-08-27,
49.0,38762,25 years,6,Male,Sales,Yes,2010-09-27,New York
18.0,50144,0 years,5,Female,HR,Yes,,Boston
